Movie,Genre,Runtime,Imdb_Rating,Metascore_Rating,Release_date,Popularity,Votes,Director,Stars,Description
Okja,"Action, Adventure, Drama",120 min,7.3,75,2017-06-28,9.113,68343,Joon-ho Bong,"Tilda Swinton,Paul Dano,Seo-hyun Ahn,Jake Gyllenhaal","A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja."
The Big Sick,"Comedy, Drama, Romance",120 min,7.6,86,2017-06-23,13.125,99745,Michael Showalter,"Kumail Nanjiani,Zoe Kazan,Holly Hunter,Ray Romano","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings."
You Get Me,"Crime, Drama, Romance",89 min,4.7,0,2017-06-19,8.165,8808,Brent Bonacorso,"Bella Thorne,Halston Sage,Taylor John Smith,Nash Grier","Tyler's crazy in love with his perfect girlfriend Ali, but when a big fight makes him and Ali break up, he lands in the arms of Holly, an out-of-towner who shows him a night he's gonna ...                See full summary »"
Rebel in the Rye,"Biography, Drama, Romance",106 min,6.7,46,2017-09-15,8.884,5704,Danny Strong,"Nicholas Hoult,Kevin Spacey,Victor Garber,Hope Davis","The life of celebrated but reclusive author, J.D. Salinger, who gained worldwide fame with the publication of his novel, ""The Catcher in the Rye""."
The Circle,"Drama, Sci-Fi, Thriller",110 min,5.3,43,2017-04-27,13.236,69719,James Ponsoldt,"Emma Watson,Tom Hanks,John Boyega,Ellar Coltrane","A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity."
1922,"Crime, Drama, Horror",102 min,6.3,70,2017-10-20,8.065,33055,Zak Hilditch,"Thomas Jane,Molly Parker,Dylan Schmid,Kaitlyn Bernard","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences."
War for the Planet of the Apes,"Action, Adventure, Drama",140 min,7.5,82,2017-07-11,22.29,193709,Matt Reeves,"Andy Serkis,Woody Harrelson,Steve Zahn,Karin Konoval","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
Jigsaw,"Horror, Mystery, Thriller",92 min,5.8,39,2017-10-26,22.026,54392,"Michael Spierig,Peter Spierig","Matt Passmore,Tobin Bell,Callum Keith Rennie,Hannah Emily Anderson","Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years."
Cold Skin,"Adventure, Horror, Sci-Fi",108 min,6.0,0,2017-10-20,8.767,7827,Xavier Gens,"Ray Stevenson,David Oakes,Aura Garrido,Winslow M. Iwaki","In 1914, a young man arrives at a remote island near the Antarctic Circle to take the post of weather observer only to find himself trapped in a watchtower besieged by deadly creatures which live in hiding on the island."
Good Time,"Crime, Drama, Thriller",101 min,7.3,80,2017-08-11,14.591,48476,"Benny Safdie,Josh Safdie","Robert Pattinson,Benny Safdie,Jennifer Jason Leigh,Buddy Duress","After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through the city's underworld in an increasingly desperate-and dangerous-attempt to get his brother Nick out of jail."
It Comes at Night,"Horror, Mystery",91 min,6.2,78,2017-06-09,9.911,65745,Trey Edward Shults,"Joel Edgerton,Christopher Abbott,Carmen Ejogo,Riley Keough","Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge."
Brawl in Cell Block 99,"Crime, Drama",132 min,7.1,79,2017-09-23,8.613,40635,S. Craig Zahler,"Vince Vaughn,Jennifer Carpenter,Don Johnson,Udo Kier",A former boxer-turned-drug runner lands in a prison battleground after a deal gets deadly.
The Glass Castle,"Biography, Drama",127 min,7.2,56,2017-08-10,11.639,21554,Destin Daniel Cretton,"Brie Larson,Woody Harrelson,Naomi Watts,Ella Anderson",A young girl comes of ae in a dysfunctional family of nonconformist nomads with a mother who's an eccentric artist and an alcoholic father who would stir the children's imagination with hope as a distraction to their poverty.
Stronger,"Biography, Drama",119 min,7.0,76,2017-09-22,8.226,31236,David Gordon Green,"Jake Gyllenhaal,Tatiana Maslany,Miranda Richardson,Richard Lane Jr.","Stronger is the inspiring real life story of Jeff Bauman, an ordinary man who captured the hearts of his city and the world to become a symbol of hope after surviving the 2013 Boston Marathon bombing."
A Dog's Purpose,"Adventure, Comedy, Drama",100 min,7.0,43,2017-01-19,13.315,50238,Lasse Hallström,"Josh Gad,Dennis Quaid,Peggy Lipton,Bryce Gheisar",A dog looks to discover his purpose in life over the course of several lifetimes and owners.
Suburbicon,"Comedy, Crime, Drama",105 min,5.6,42,2017-10-26,8.729,29518,George Clooney,"Matt Damon,Julianne Moore,Oscar Isaac,Noah Jupe","As a 1950s suburban community self-destructs, a home invasion has sinister consequences for one seemingly normal family."
"Roman J. Israel, Esq.","Crime, Drama, Thriller",122 min,6.4,58,2017-11-17,8.341,21772,Dan Gilroy,"Denzel Washington,Colin Farrell,Carmen Ejogo,Lynda Gravatt","Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action."
Cars 3,"Animation, Adventure, Comedy",102 min,6.8,59,2017-06-15,12.082,55196,Brian Fee,"Owen Wilson,Cristela Alonzo,Chris Cooper,Nathan Fillion",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
Mom and Dad,"Comedy, Horror, Thriller",86 min,5.5,59,2017-09-09,9.008,14429,Brian Taylor,"Nicolas Cage,Selma Blair,Anne Winters,Zackary Arthur",A teenage girl and her little brother must survive a wild 24 hours during which a mass hysteria of unknown origins causes parents to turn violently on their own kids.
Newness,"Drama, Romance",117 min,6.4,50,2017-11-03,9.657,8265,Drake Doremus,"Nicholas Hoult,Laia Costa,Danny Huston,Courtney Eaton","In contemporary Los Angeles, two millennials navigating a social media-driven hookup culture begin a relationship that pushes both emotional and physical boundaries."
Fist Fight,Comedy,91 min,5.6,37,2017-02-16,9.378,33476,Richie Keen,"Ice Cube,Charlie Day,Tracy Morgan,Christina Hendricks","When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight."
The Bye Bye Man,"Drama, Fantasy, Horror",96 min,4.3,37,2017-01-12,8.985,16404,Stacy Title,"Douglas Smith,Lucien Laviscount,Cressida Bonas,Michael Trucco",Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.
Mudbound,"Drama, War",134 min,7.4,85,2017-11-17,11.779,31830,Dee Rees,"Carey Mulligan,Garrett Hedlund,Jonathan Banks,Jason Clarke","Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war."
The Book of Henry,"Crime, Drama, Thriller",105 min,6.6,31,2017-06-16,7.737,18057,Colin Trevorrow,"Naomi Watts,Jaeden Lieberher,Jacob Tremblay,Sarah Silverman","With instructions from her genius son's carefully crafted notebook, a single mother sets out to rescue a young girl from the hands of her abusive stepfather."
Rough Night,"Comedy, Crime, Thriller",101 min,5.2,51,2017-06-15,12.863,37062,Lucia Aniello,"Scarlett Johansson,Kate McKinnon,Zoë Kravitz,Ilana Glazer",Things go terribly wrong for a group of girlfriends who hire a male stripper for a bachelorette party in Miami.
War Machine,"Comedy, Drama, War",122 min,6.0,56,2017-05-26,8.823,33218,David Michôd,"Brad Pitt,Daniel Betts,John Magaro,Emory Cohen","An idiosyncratic General confronts opposition from enemies, allies, and bureaucrats while leading a massive rebuilding operation in Afghanistan."
The Mountain Between Us,"Action, Adventure, Drama",112 min,6.4,48,2017-10-05,9.394,54184,Hany Abu-Assad,"Idris Elba,Kate Winslet,Beau Bridges,Dermot Mulroney","Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness."
The Boss Baby,"Animation, Adventure, Comedy",97 min,6.3,50,2017-03-23,7.357,89046,Tom McGrath,"Alec Baldwin,Steve Buscemi,Jimmy Kimmel,Lisa Kudrow","A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co."
Girls Trip,"Comedy, Drama",122 min,6.2,71,2017-07-21,12.099,27986,Malcolm D. Lee,"Regina Hall,Queen Latifah,Jada Pinkett Smith,Tiffany Haddish","When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling, and romancing to make the Big Easy blush."
To the Bone,Drama,107 min,6.9,64,2017-01-22,7.927,30633,Marti Noxon,"Rebekah Kennedy,Lily Collins,Dana L. Wilson,Ziah Colon","A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life."
Jungle,"Action, Adventure, Biography",115 min,6.7,48,2017-10-14,13.931,33348,Greg McLean,"Daniel Radcliffe,Yasmin Kassim,Luis Jose Lopez,Lily Sullivan","A group of friends join a guide for a trek into the Bolivian jungle, searching for an Indian village. The men soon realize that the jungle is a difficult place to be."
Breathe,"Biography, Drama, Romance",118 min,7.1,51,2017-10-13,8.564,14154,Andy Serkis,"Andrew Garfield,Claire Foy,Hugh Bonneville,Ed Speleers","The inspiring true love story of Robin and Diana Cavendish, an adventurous couple who refuse to give up in the face of a devastating disease. Their heartwarming celebration of human possibility marks the directorial debut of Andy Serkis."
Goodbye Christopher Robin,"Biography, Drama",107 min,7.1,54,2017-09-29,9.793,18427,Simon Curtis,"Domhnall Gleeson,Margot Robbie,Kelly Macdonald,Vicki Pepperdine","The relationship between writer AA Milne and his son, Christopher Robin, and how this became the inspiration for Winnie the Pooh."
The Square,"Comedy, Drama",151 min,7.3,73,2017-08-25,11.379,41622,Ruben Östlund,"Claes Bang,Elisabeth Moss,Dominic West,Terry Notary",A prestigious Stockholm museum's chief art curator finds himself in times of both professional and personal crisis as he attempts to set up a controversial new exhibit.
Detroit,"Crime, Drama, History",143 min,7.4,77,2017-07-28,12.803,38103,Kathryn Bigelow,"John Boyega,Anthony Mackie,Algee Smith,Jacob Latimore",Fact-based drama set during the 1967 Detroit riots in which a group of rogue police officers respond to a complaint with retribution rather than justice on their minds.
Flatliners,"Drama, Horror, Mystery",109 min,5.2,27,2017-09-28,14.081,31887,Niels Arden Oplev,"Ellen Page,Diego Luna,Nina Dobrev,James Norton","Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife."
A Ghost Story,"Drama, Fantasy, Romance",92 min,6.8,84,2017-07-07,10.58,43856,David Lowery,"Casey Affleck,Rooney Mara,McColm Cephas Jr.,Kenneisha Thompson","In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife."
Home Again,"Comedy, Drama, Romance",97 min,5.8,41,2017-09-07,9.35,21303,Hallie Meyers-Shyer,"Reese Witherspoon,Michael Sheen,Candice Bergen,Pico Alexander",Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.
The Shack,"Drama, Fantasy",132 min,6.3,32,2017-03-03,8.991,24527,Stuart Hazeldine,"Sam Worthington,Octavia Spencer,Tim McGraw,Radha Mitchell","A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack."""
47 Meters Down,"Adventure, Drama, Horror",89 min,5.6,52,2017-05-25,13.207,36803,Johannes Roberts,"Mandy Moore,Claire Holt,Matthew Modine,Chris Johnson","Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive."
Rings,"Drama, Horror, Romance",102 min,4.5,25,2017-02-01,9.434,33023,F. Javier Gutiérrez,"Matilda Anna Ingrid Lutz,Alex Roe,Johnny Galecki,Vincent D'Onofrio",A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.
Loving Vincent,"Animation, Biography, Crime",94 min,7.8,62,2017-06-22,8.991,36681,"Dorota Kobiela,Hugh Welchman","Douglas Booth,Jerome Flynn,Robert Gulaczyk,Helen McCrory","In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there."
A Bad Moms Christmas,"Adventure, Comedy",104 min,5.5,42,2017-11-01,15.258,31108,"Jon Lucas,Scott Moore","Mila Kunis,Kristen Bell,Kathryn Hahn,Jay Hernandez","As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas."
The Beguiled,"Drama, Thriller",93 min,6.3,77,2017-06-23,11.326,40630,Sofia Coppola,"Nicole Kidman,Kirsten Dunst,Elle Fanning,Colin Farrell",The unexpected arrival of a wounded Union soldier at a girls school in Virginia during the American Civil War leads to jealousy and betrayal.
Despicable Me 3,"Animation, Action, Adventure",89 min,6.3,49,2017-06-15,14.103,86474,"Kyle Balda,Pierre Coffin,Eric Guillon","Steve Carell,Kristen Wiig,Trey Parker,Miranda Cosgrove","Gru meets his long-lost charming, cheerful, and more successful twin brother Dru who wants to team up with him for one last criminal heist."
My Friend Dahmer,"Biography, Drama, Horror",107 min,6.3,68,2017-11-03,9.081,9691,Marc Meyers,"Ross Lynch,Alex Wolff,Anne Heche,Zachary Davis Brown",A young Jeffrey Dahmer struggles to belong in high school.
"Everything, Everything","Drama, Romance",96 min,6.4,52,2017-05-18,11.801,24932,Stella Meghie,"Amandla Stenberg,Nick Robinson,Anika Noni Rose,Ana de la Reguera",A teenager who's spent her whole life confined to her home falls for the boy next door.
Unlocked,"Action, Drama, Mystery",98 min,6.2,46,2017-04-27,12.389,21988,Michael Apted,"Noomi Rapace,Orlando Bloom,Toni Collette,John Malkovich",A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.
The Emoji Movie,"Animation, Adventure, Comedy",86 min,3.2,12,2017-07-23,11.385,45071,Tony Leondis,"T.J. Miller,James Corden,Anna Faris,Maya Rudolph","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji."
Escape Room,Horror,86 min,4.3,0,2017-09-29,10.633,4478,Will Wernick,"Evan Williams,Annabelle Stephenson,Elisabeth Hower,Dan J. Johnson",Four best friends test their intelligence when an escape room they participate in takes a dark and twisted turn.
Escape Room,Horror,86 min,4.3,0,2017-09-29,10.633,1686,Peter Dukes,"Skeet Ulrich,Sean Young,Christine Donlon,Randy Wayne","four friends who partake in a popular Los Angeles escape room, owned by Brice (Ulrich), and find themselves stuck with a demonically possessed killer. Sean Young plays the keeper of a box ...                See full summary »"
The Layover,"Comedy, Romance",88 min,4.7,15,2017-09-01,15.187,9431,William H. Macy,"Kate Upton,Alexandra Daddario,Matt Barr,Matt Jones",Two friends on a road trip compete for the affections of a handsome man when their flight is redirected due to a hurricane.
The Man with the Iron Heart,"Action, Biography, Thriller",120 min,6.4,0,2017-05-25,13.421,10151,Cédric Jimenez,"Jason Clarke,Rosamund Pike,Jack O'Connell,Jack Reynor","As the German Fascists expand their borders, scorching Europe from end to end, two brave Czechs of the Resistance prepare for a suicide mission to assassinate Reinhard Heydrich, the hideous mastermind behind the ""Final Solution""."
Sleepless,"Action, Crime, Thriller",95 min,5.6,34,2017-01-12,12.059,24316,Baran bo Odar,"Jamie Foxx,Michelle Monaghan,Dermot Mulroney,Gabrielle Union",A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.
Marrowbone,"Drama, Horror, Thriller",110 min,6.6,63,2017-10-27,9.018,14659,Sergio G. Sánchez,"George MacKay,Anya Taylor-Joy,Charlie Heaton,Mia Goth","A young man and his three younger siblings, who have kept secret the death of their beloved mother in order to remain together, are plagued by a sinister presence in the sprawling manor in which they live."
Loving Pablo,"Action, Biography, Crime",123 min,6.3,42,2017-10-12,8.797,11738,Fernando León de Aranoa,"Javier Bardem,Penélope Cruz,Peter Sarsgaard,Julieth Restrepo",A journalist strikes up a romantic relationship with notorious drug lord Pablo Escobar.
Crooked House,"Crime, Drama, Mystery",115 min,6.3,59,2017-10-31,10.516,12298,Gilles Paquet-Brenner,"Max Irons,Stefanie Martini,Glenn Close,Honor Kneafsey","In Agatha Christie's most twisted tale, a spy-turned-private-detective is lured by his former lover to catch her grandfather's murderer before Scotland Yard exposes dark family secrets."
Aftermath,"Drama, Thriller",94 min,5.7,44,2017-02-28,8.379,17147,Elliott Lester,"Arnold Schwarzenegger,Scoot McNairy,Maggie Grace,Judah Nelson",Two strangers' lives become inextricably bound together after a devastating plane crash.
Wonder Wheel,Drama,101 min,6.2,45,2017-12-01,9.005,18458,Woody Allen,"Justin Timberlake,Juno Temple,Robert C. Kirk,Kate Winslet","On Coney Island in the 1950s, a lifeguard tells the story of a middle-aged carousel operator, his beleaguered wife, and the visitor who turns their lives upside-down."
Table 19,"Comedy, Drama, Romance",87 min,5.8,40,2017-03-03,7.734,21893,Jeffrey Blitz,"Anna Kendrick,Lisa Kudrow,Craig Robinson,Stephen Merchant","Eloise, having been relieved of maid of honor duties after being unceremoniously dumped by the best man via text, decides to attend the wedding anyway, only to find herself seated with five fellow unwanted guests at the dreaded Table 19."
Professor Marston and the Wonder Women,"Biography, Drama",108 min,7.1,68,2017-10-13,11.165,16507,Angela Robinson,"Luke Evans,Rebecca Hall,Bella Heathcote,Connie Britton","The story of psychologist William Moulton Marston, and his polyamorous relationship with his wife and their mistress who would inspire his creation of the superheroine, Wonder Woman."
Tulip Fever,"Drama, History, Romance",105 min,6.2,38,2017-07-13,8.961,14005,Justin Chadwick,"Alicia Vikander,Dane DeHaan,Jack O'Connell,Holliday Grainger",An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of 17th century Amsterdam.
In the Fade,"Crime, Drama, Thriller",106 min,7.1,65,2017-11-23,9.519,20007,Fatih Akin,"Numan Acar,Adam Bousdoukos,Diane Kruger,Denis Moschitto","Katja's life collapses after the death of her husband and son in a bomb attack. After a time of mourning and injustice, Katja seeks revenge."
Song to Song,"Drama, Music, Romance",129 min,5.7,54,2017-03-17,7.434,14884,Terrence Malick,"Ryan Gosling,Rooney Mara,Michael Fassbender,Natalie Portman","Two intersecting love triangles. Obsession and betrayal set against the music scene in Austin, Texas."
Father Figures,"Adventure, Comedy, Drama",113 min,5.4,22,2017-12-21,10.301,13193,Lawrence Sher,"Owen Wilson,Ed Helms,Glenn Close,Robert Jon Mello","Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him."
The Vanishing of Sidney Hall,"Drama, Mystery, Romance",119 min,6.9,18,2017-10-06,10.413,6580,Shawn Christensen,"Yahya Abdul-Mateen II,Michelle Monaghan,Elle Fanning,Logan Lerman","Sidney Hall finds accidental success and unexpected love at an early age, then disappears without a trace."
Leatherface,"Crime, Horror, Thriller",90 min,5.0,40,2017-09-14,12.465,15485,"Alexandre Bustillo,Julien Maury","Stephen Dorff,Lili Taylor,Sam Strike,Vanessa Grasse","A teenage Leatherface escapes from a mental hospital with three other inmates, kidnapping a young nurse and taking her on a road trip from hell, while being pursued by a lawman out for revenge."
The House,"Comedy, Crime",88 min,5.6,30,2017-06-29,9.293,31270,Andrew Jay Cohen,"Will Ferrell,Amy Poehler,Ryan Simpkins,Jason Mantzoukas","After the town takes away their daughter's college scholarship, a couple start an illegal casino in their friend's house to make back the money."
God's Own Country,"Drama, Romance",104 min,7.7,85,2017-09-01,10.132,16164,Francis Lee,"Josh O'Connor,Alec Secareanu,Gemma Jones,Ian Hart","Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path."
Once Upon a Time in Venice,"Comedy, Crime, Mystery",94 min,5.3,28,2017-06-08,9.998,13763,Mark Cullen,"Bruce Willis,John Goodman,Jason Momoa,Emily Robinson",A Los Angeles detective seeks out the ruthless gang that stole his dog.
Singularity,"Action, Adventure, Drama",92 min,3.9,0,2017-11-24,9.866,11875,Robert Kouba,"Julian Schaffner,John Cusack,Carmen Argenziano,Eileen Grubba","In 2020, Elias van Dorne (John Cusack), CEO of VA Industries, the world's largest robotics company, introduces his most powerful invention--Kronos, a super computer designed to end all wars...                See full summary »"
Going in Style,"Comedy, Crime",96 min,6.6,50,2017-04-06,10.447,62496,Zach Braff,"Michael Caine,Alan Arkin,Ann-Margret,Matt Dillon","Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money."
2:22,Thriller,98 min,5.8,0,2017-06-29,11.973,15455,Paul Currie,"Teresa Palmer,Michiel Huisman,Remy Hii,Sam Reid","A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m."
Ingrid Goes West,"Comedy, Drama",98 min,6.6,71,2017-08-11,7.745,25550,Matt Spicer,"Aubrey Plaza,Elizabeth Olsen,O'Shea Jackson Jr.,Wyatt Russell",An unhinged social media stalker moves to LA and insinuates herself into the life of an Instagram star.
Lucky,"Comedy, Drama",88 min,7.4,80,2017-09-29,9.685,13028,John Carroll Lynch,"Harry Dean Stanton,David Lynch,Ron Livingston,Ed Begley Jr.",The spiritual journey of a ninety-year-old atheist.
The Zookeeper's Wife,"Biography, Drama, History",127 min,7.0,57,2017-03-31,9.826,29635,Niki Caro,"Jessica Chastain,Johan Heldenbergh,Daniel Brühl,Timothy Radford","The Zookeeper's Wife tells the account of keepers of the Warsaw Zoo, Antonina and Jan Zabinski, who helped save hundreds of people and animals during the German invasion."
Berlin Syndrome,"Drama, Horror, Mystery",116 min,6.3,70,2017-05-25,8.959,17719,Cate Shortland,"Teresa Palmer,Max Riemelt,Matthias Habich,Emma Bading","A passionate holiday romance leads to an obsessive relationship, when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave."
Prodigy,"Drama, Sci-Fi, Thriller",80 min,6.1,0,2017-03-04,8.631,3773,"Alex Haughey,Brian Vidal","Richard Neil,Savannah Liles,Jolene Andersen,Emilio Palame","A psychologist engages a dangerous, young genius in a battle of wits -- unaware of the supernatural power the girl possesses, or that her life hangs in the balance."
Last Flag Flying,"Comedy, Drama, War",125 min,6.9,65,2017-02-01,7.087,17662,Richard Linklater,"Bryan Cranston,Laurence Fishburne,Steve Carell,J. Quinton Johnson","Thirty years after they served together in Vietnam, a former Navy Corpsman Larry ""Doc"" Shepherd re-unites with his old buddies, former Marines Sal Nealon and Reverend Richard Mueller, to bury his son, a young Marine killed in the Iraq War."
Novitiate,Drama,123 min,6.6,73,2017-10-27,6.997,2754,Maggie Betts,"Melissa Leo,Lisa Stewart,Alyssa Brindley,Chelsea Lopez","Set in the early 1960s and during the era of Vatican II, a young woman in training to become a nun struggles with issues of faith, the changing church and sexuality."
First Kill,"Action, Crime, Drama",97 min,4.9,39,2017-07-21,8.989,7276,Steven C. Miller,"Bruce Willis,Hayden Christensen,Ty Shelton,Megan Leonard",A Wall Street broker is forced to evade a police chief investigating a bank robbery as he attempts to recover the stolen money in exchange for his son's life.
Thelma,"Drama, Fantasy, Horror",116 min,7.0,74,2017-09-15,7.562,19295,Joachim Trier,"Eili Harboe,Kaya Wilkins,Henrik Rafaelsen,Ellen Dorrit Petersen",A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.
The Discovery,"Drama, Mystery, Romance",102 min,6.3,54,2017-03-31,8.744,23582,Charlie McDowell,"Robert Redford,Mary Steenburgen,Brian McCarthy,Jason Segel","Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past."
Thank You for Your Service,"Biography, Drama, War",109 min,6.5,68,2017-10-26,8.14,9283,Jason Hall,"Miles Teller,Beulah Koale,Joe Cole,Scott Haze","A group of U.S. soldiers returning from Iraq struggle to integrate back into family and civilian life, while living with the memory of a war that threatens to destroy them long after they've left the battlefield."
Smurfs: The Lost Village,"Animation, Adventure, Comedy",90 min,6.0,40,2017-03-23,11.099,14685,Kelly Asbury,"Demi Lovato,Rainn Wilson,Joe Manganiello,Jack McBrayer","In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy, and Hefty on an exciting race through the Forbidden Forest, leading to the discovery of the biggest secret in Smurf history."
Victoria & Abdul,"Biography, Drama, History",111 min,6.8,58,2017-09-14,11.139,23697,Stephen Frears,"Judi Dench,Ali Fazal,Tim Pigott-Smith,Eddie Izzard",Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.
How to Talk to Girls at Parties,"Comedy, Music, Romance",102 min,5.8,50,2017-10-06,7.325,6281,John Cameron Mitchell,"Nicole Kidman,Ruth Wilson,Elle Fanning,Stephen Campbell Moore",An alien touring the galaxy breaks away from her group and meets two young inhabitants of the most dangerous place in the universe: the London suburb of Croydon.
Bleeding Steel,"Action, Sci-Fi, Thriller",109 min,5.2,43,2017-12-18,15.618,5662,Leo Zhang,"Jackie Chan,Show Lo,Na-Na OuYang,Erica Xia-Hou",A Special Forces Agent is assigned to protect a scientist and his creation from a sinister gang.
Sand Castle,"Drama, War",113 min,6.3,45,2017-04-21,7.228,14149,Fernando Coimbra,"Nicholas Hoult,Logan Marshall-Green,Henry Cavill,Glen Powell","The story follows a young soldier, and his introduction into the 2003 invasion of Iraq. Based on true events, it bears witness to the destruction, and horrors of war."
My Cousin Rachel,"Drama, Mystery, Romance",106 min,6.0,63,2017-06-08,9.3,14802,Roger Michell,"Rachel Weisz,Sam Claflin,Holliday Grainger,Iain Glen","A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms."
Pilgrimage,"Adventure, Drama, Mystery",96 min,5.8,60,2017-08-11,8.19,3388,Brendan Muldowney,"Tom Holland,Richard Armitage,Jon Bernthal,Nikos Karathanos","In 13th century Ireland, a group of monks must escort a sacred relic across an Irish landscape fraught with peril."
