Movie,Genre,Runtime,Imdb_Rating,Metascore_Rating,Release_date,Popularity,Votes,Director,Stars,Description
Mark Felt: The Man Who Brought Down the White House,"Biography, Drama, History",103 min,6.4,49,2017-09-28,10.534,8590,Peter Landesman,"Liam Neeson,Diane Lane,Marton Csokas,Tony Goldwyn","The story of Mark Felt, who under the name ""Deep Throat"" helped journalists Bob Woodward and Carl Bernstein uncover the Watergate scandal in 1972."
Hangman,"Crime, Mystery, Thriller",98 min,5.2,31,2017-12-22,8.052,9574,Johnny Martin,"Al Pacino,Karl Urban,Brittany Snow,Joe Anderson",A homicide detective teams up with a criminal profiler to catch a serial killer whose crimes are inspired by the children's game Hangman.
Columbus,Drama,100 min,7.2,89,2017-08-04,8.267,9513,Kogonada,"John Cho,Haley Lu Richardson,Parker Posey,Michelle Forbes","A Korean-born man finds himself stuck in Columbus, Indiana, where his architect father is in a coma. The man meets a young woman who wants to stay in Columbus with her mother, a recovering addict, instead of pursuing her own dreams."
Kidnap,"Crime, Drama, Thriller",95 min,5.9,44,2017-06-16,18.683,27718,Luis Prieto,"Halle Berry,Sage Correa,Chris McGinn,Lew Temple",A mother stops at nothing to recover her kidnapped son.
Pokémon the Movie: I Choose You!,"Animation, Action, Adventure",98 min,6.4,0,2017-07-15,10.881,3549,Kunihiko Yuyama,"Unshô Ishizuka,Rica Matsumoto,Sarah Natochenny,Megumi Hayashibara",Ash Ketchum from Pallet Town is 10 years old today. This means he is now old enough to become a Pokémon Trainer. Ash dreams big about the adventures he will experience after receiving his first Pokémon from Professor Oak.
Killing Gunther,"Action, Comedy",92 min,4.7,53,2017-09-22,8.358,8367,Taran Killam,"Taran Killam,Dave 'Squatch' Ward,Bobby Moynihan,Hannah Simone","A group of eccentric assassins are fed up with Gunther, the world's greatest hitman, and decide to kill him, but their plan turns into a series of bungled encounters as Gunther seems to always be one step ahead."
Unforgettable,"Drama, Thriller",100 min,5.1,45,2017-03-06,9.562,10820,Denise Di Novi,"Rosario Dawson,Katherine Heigl,Geoff Stults,Isabella Kai",A woman sets out to make life a living hell for her ex-husband's new fiancée.
Inconceivable,"Drama, Thriller",105 min,5.2,0,2017-06-30,10.725,6608,Jonathan Baker,"Gina Gershon,Nicky Whelan,Nicolas Cage,Sienna Soho Baker","A mother looks to escape her abusive past by moving to a new town where she befriends another mother, who grows suspicious of her."
Fullmetal Alchemist,"Action, Adventure, Fantasy",135 min,5.8,48,2017-12-01,9.024,16537,Fumihiko Sori,"Ryôsuke Yamada,Tsubasa Honda,Dean Fujioka,Ryûta Satô",Two alchemist brothers go on a quest for the Philosopher's Stone after an attempt to revive their dead mother goes horribly wrong.
6 Days,"Action, Drama, History",94 min,6.2,36,2017-08-03,9.984,13342,Toa Fraser,"Jamie Bell,Mark Strong,Abbie Cornish,Martin Shaw","In April 1980, armed gunmen stormed the Iranian Embassy in Princes Gate, London and took all inside hostage. Over the next six days a tense standoff took place, all the while a group of ...                See full summary »"
All Eyez on Me,"Biography, Drama, Music",139 min,5.8,38,2017-06-12,8.992,17796,Benny Boom,"Demetrius Shipp Jr.,Danai Gurira,Kat Graham,Annie Ilonzeh","Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur."
Guardians,"Action, Sci-Fi",89 min,4.0,0,2017-02-14,8.831,9458,Sarik Andreasyan,"Anton Pampushnyy,Sanjar Madi,Sebastien Sisak,Alina Lanina","During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple Soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again."
Sweet Virginia,"Drama, Thriller",93 min,6.2,72,2017-11-17,8.494,5551,Jamie M. Dagg,"Jon Bernthal,Christopher Abbott,Imogen Poots,Rosemarie DeWitt",A former rodeo champ befriends a young man with a propensity for violence.
Our Souls at Night,"Drama, Romance",103 min,6.9,69,2017-09-01,7.136,7945,Ritesh Batra,"Jane Fonda,Robert Redford,Judy Greer,Matthias Schoenaerts","Fonda and Redford will star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neighbor."
The Wall,"Drama, Thriller, War",88 min,6.2,57,2017-05-12,8.85,19437,Doug Liman,"Aaron Taylor-Johnson,John Cena,Laith Nakli","Two American Soldiers are trapped by a lethal sniper, with only an unsteady wall between them."
Snatched,"Action, Adventure, Comedy",90 min,4.5,45,2017-05-03,9.043,28881,Jonathan Levine,"Amy Schumer,Goldie Hawn,Kim Caramele,Raven Goodwin","When her boyfriend dumps her before their exotic vacation, a young woman persuades her ultra-cautious mother to travel with her to paradise, with unexpected results."
First They Killed My Father,"Biography, Drama, History",136 min,7.2,72,2017-02-18,7.715,9672,Angelina Jolie,"Sareum Srey Moch,Phoeung Kompheak,Sveng Socheata,Mun Kimhak",Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.
The Ottoman Lieutenant,"Drama, War",106 min,6.7,26,2017-03-10,8.526,21993,Joseph Ruben,"Michiel Huisman,Hera Hilmar,Josh Hartnett,Ben Kingsley",This movie is a love story between an idealistic American nurse and a Turkish officer in World War I.
Madame,"Comedy, Drama, Romance",91 min,6.1,45,2017-08-17,9.138,4185,Amanda Sthers,"Toni Collette,Harvey Keitel,Rossy de Palma,Michael Smiley","Adding a little spice to a waning marriage, Anne and Bob, a wealthy and well-connected American couple, move into a manor house in romantic Paris. While preparing a particularly luxurious ...                See full summary »"
Film Stars Don't Die in Liverpool,"Biography, Drama, Romance",105 min,6.7,65,2017-11-17,8.076,5985,Paul McGuigan,"Annette Bening,Jamie Bell,Kenneth Cranham,Julie Walters",A romance sparks between a young actor and a Hollywood leading lady.
Megan Leavey,"Biography, Drama, War",116 min,7.1,66,2017-06-09,8.657,18141,Gabriela Cowperthwaite,"Kate Mara,Ramon Rodriguez,Tom Felton,Bradley Whitford",Based on the true life story of a young Marine corporal whose unique discipline and bond with her military combat dog saved many lives during their deployment in Iraq.
My Little Pony: The Movie,"Animation, Action, Adventure",99 min,6.1,39,2017-10-05,11.912,4941,Jayson Thiessen,"Emily Blunt,Kristin Chenoweth,Liev Schreiber,Michael Peña","After a dark force conquers Canterlot, the Mane 6 embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship to save their homeland."
The Humanity Bureau,"Adventure, Sci-Fi, Thriller",95 min,5.0,0,2017-07-11,7.024,7029,Rob W. King,"Nicolas Cage,Sarah Lind,Jakob Davies,Hugh Dillon",A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.
Cult of Chucky,"Horror, Thriller",91 min,5.2,69,2017-09-23,11.778,16061,Don Mancini,"Allison Dawn Doiron,Alex Vincent,Brad Dourif,Fiona Dourif","Chucky returns to terrorize his human victim, Nica. Meanwhile, the killer doll has some scores to settle with his old enemies, with the help of his former wife."
Same Kind of Different as Me,"Biography, Drama",119 min,6.5,47,2017-10-20,10.95,3745,Michael Carney,"Greg Kinnear,Renée Zellweger,Djimon Hounsou,Jon Voight","International art dealer Ron Hall must befriend a dangerous homeless man in order to save his struggling marriage to his wife, a woman whose dreams will lead all three of them on the journey of their lives."
Stratton,"Action, Thriller",95 min,4.8,26,2017-07-06,8.674,3217,Simon West,"Dominic Cooper,Austin Stowell,Gemma Chan,Connie Nielsen",A British Special Boat Service commando tracks down an international terrorist cell.
Wish Upon,"Fantasy, Horror, Thriller",90 min,5.0,32,2017-07-07,8.795,14011,John R. Leonetti,"Joey King,Ryan Phillippe,Ki Hong Lee,Mitchell Slaggert",A teenage girl discovers a box that carries magic powers and a deadly price for using them.
Ayla: The Daughter of War,"Drama, History, War",125 min,8.8,0,2017-10-27,9.523,24678,Can Ulkay,"Çetin Tekindor,Ismail Hacioglu,Kyung-jin Lee,Kim Seol","In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death,...                See full summary »"
OtherLife,"Crime, Mystery, Sci-Fi",96 min,6.3,0,2017-06-16,8.969,10073,Ben C. Lucas,"Jessica De Gouw,Thomas Cocquerel,Shalom Brune-Franklin,T.J. Power","After inventing a drug that induces time-compressed virtual realities, young Ren grapples with partner Sam over how to use their powerful creation."
Captain Underpants: The First Epic Movie,"Animation, Action, Comedy",89 min,6.2,69,2017-06-01,12.613,21067,David Soren,"Kevin Hart,Thomas Middleditch,Ed Helms,Nick Kroll","2 overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants."
Vengeance: A Love Story,"Crime, Drama, Thriller",99 min,5.2,0,2017-03-16,9.578,5277,Johnny Martin,"Nicolas Cage,Anna Hutchison,Talitha Eliana Bateman,Deborah Kara Unger",A gulf war veteran seeks vengeance against those who assaulted a single mother.
Mary and the Witch's Flower,"Animation, Adventure, Family",103 min,6.8,75,2017-07-08,9.84,7293,"Hiromasa Yonebayashi,Giles New","Hana Sugisaki,Ryûnosuke Kamiki,Yûki Amami,Fumiyo Kohinata","Based on ""The Little Broomstick"" by Mary Stewart, a strange flower grants a girl magic powers."
Sandy Wexler,"Biography, Comedy",130 min,5.1,40,2017-04-14,7.407,11421,Steven Brill,"Adam Sandler,Jennifer Hudson,Kevin James,Colin Quinn","Sandy Wexler (Adam Sandler) is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business. His single-minded ...                See full summary »"
The Lodgers,"Drama, Horror, Romance",92 min,5.1,52,2017-10-05,7.487,5935,Brian O'Malley,"Charlotte Vega,Bill Milner,Eugene Simon,David Bradley","1920, rural Ireland. Anglo Irish twins Rachel and Edward share a strange existence in their crumbling family estate. Each night, the property becomes the domain of a sinister presence (The ...                See full summary »"
Goon: Last of the Enforcers,"Comedy, Sport",101 min,5.8,48,2017-03-17,6.964,9671,Jay Baruchel,"Seann William Scott,Alison Pill,Marc-André Grondin,Liev Schreiber",A hockey player plagued by injuries is confronted with the possibility of retirement when a tough new player challenges his status as the league's top enforcer.
24 Hours to Live,"Action, Sci-Fi, Thriller",93 min,5.7,37,2017-10-26,8.614,9356,Brian Smrz,"Ethan Hawke,Qing Xu,Paul Anderson,Rutger Hauer",An assassin seeks redemption after being given a second chance at life.
Double Lover,"Drama, Romance, Thriller",107 min,6.2,70,2017-05-26,8.293,7592,François Ozon,"Marine Vacth,Jérémie Renier,Jacqueline Bisset,Myriam Boyer","Chloé, a fragile young woman, falls in love with her psychoanalyst, Paul. A few months later she moves in with him, but soon discovers that her lover is concealing a part of his identity."
How to Be a Latin Lover,"Comedy, Drama",115 min,5.9,54,2017-04-28,8.784,11150,Ken Marino,"Eugenio Derbez,Salma Hayek,Raphael Alejandro,Rob Lowe","Finding himself dumped after 25 years of marriage, a man who made a career of seducing rich older women must move in with his estranged sister, where he begins to learn the value of family."
Wonderstruck,"Drama, Mystery",116 min,6.2,71,2017-10-13,9.323,7765,Todd Haynes,"Oakes Fegley,Julianne Moore,Michelle Williams,Millicent Simmonds","Tells the tale of two children separated by fifty years. In 1927, Rose searches for the actress whose life she chronicles in her scrapbook; in 1977, Ben runs away from home to find his father."
Overdrive,"Action, Thriller",93 min,5.4,0,2017-06-29,8.741,9738,Antonio Negret,"Scott Eastwood,Freddie Thorp,Ana de Armas,Gaia Weiss","Two car thief brothers, who journey to the south of France for new opportunities, wind up in the cross hairs of the local crime boss."
A Fantastic Woman,Drama,104 min,7.2,86,2017-04-06,11.531,17026,Sebastián Lelio,"Daniela Vega,Francisco Reyes,Luis Gnecco,Aline Küppenheim","Marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend."
The Pirates of Somalia,"Biography, Drama",116 min,6.8,54,2017-12-08,7.116,6473,Bryan Buckley,"Evan Peters,Al Pacino,Melanie Griffith,Barkhad Abdi","In 2008, rookie journalist Jay Bahadur forms a half-baked plan to embed himself among the pirates of Somalia. He ultimately succeeds in providing the first close-up look into who these men ...                See full summary »"
The Star,"Animation, Adventure, Comedy",86 min,6.1,42,2017-11-15,9.769,4893,Timothy Reckart,"Steven Yeun,Keegan-Michael Key,Aidy Bryant,Gina Rodriguez",A small but brave donkey and his animal friends become the unsung heroes of the first Christmas.
Attraction,"Romance, Sci-Fi",117 min,5.5,0,2017-01-26,10.016,7069,Fedor Bondarchuk,"Irina Starshenbaum,Alexander Petrov,Rinal Mukhametov,Oleg Menshikov","After an alien ship crash lands onto a Russian city, many who saw it and the occupants start to question their own existence while there are those who demand the aliens leave Earth."
The Vault,"Crime, Horror, Mystery",91 min,4.8,50,2017-09-01,7.411,9851,Dan Bush,"James Franco,Scott Haze,Taryn Manning,Francesca Eastwood",Two estranged sisters are forced to rob a bank in order to save their brother. But this is no ordinary bank.
November Criminals,"Crime, Drama, Mystery",107 min,5.3,31,2017-12-08,9.611,6356,Sacha Gervasi,"Ansel Elgort,Chloë Grace Moretz,David Strathairn,Catherine Keener","After his friend is murdered, a Washington, D.C. teenager undertakes his own investigation of the crime."
Patti Cake$,"Drama, Music",109 min,6.7,67,2017-08-18,7.629,8249,Geremy Jasper,"Sahr Ngaujah,Danielle Macdonald,Bridget Everett,Mamoudou Athie","PATTI CAKE$ is centered on aspiring rapper Patricia Dombrowski, a.k.a. Killa P, a.k.a. Patti Cake$, who is fighting an unlikely quest for glory in her downtrodden hometown in New Jersey."
Bullet Head,"Crime, Drama, Thriller",93 min,5.3,51,2017-12-07,12.121,5906,Paul Solet,"Adrien Brody,Antonio Banderas,John Malkovich,Rory Culkin",Three career criminals find themselves trapped in a warehouse with the law closing in and an even worse threat waiting inside - a nigh unstoppable killer dog.
Amityville: The Awakening,"Horror, Thriller",85 min,4.9,42,2017-07-20,9.173,10397,Franck Khalfoun,"Jennifer Jason Leigh,Bella Thorne,Mckenna Grace,Cameron Monaghan","A desperate single mother moves with her three children into the notorious, supposedly haunted, real-life Amityville house to try and use its dark powers to cure her comatose son. Things go horribly wrong."
Diary of a Wimpy Kid: The Long Haul,"Comedy, Family",91 min,4.4,39,2017-05-19,8.591,5265,David Bowers,"Jason Drucker,Alicia Silverstone,Tom Everett Scott,Charlie Wright",A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.
6 Below: Miracle on the Mountain,"Adventure, Biography, Drama",98 min,5.7,40,2017-10-12,9.651,4479,Scott Waugh,"Josh Hartnett,Mira Sorvino,Sarah Dumont,Kale Culley","An adrenaline seeking snowboarder gets lost in a massive winter storm in the back country of the High Sierras where he is pushed to the limits of human endurance and forced to battle his own personal demons as he fights for survival...."""
Just Getting Started,"Action, Comedy",91 min,4.3,21,2017-12-01,7.361,4367,Ron Shelton,"Morgan Freeman,Tommy Lee Jones,Rene Russo,Joe Pantoliano","A two-hander action comedy in the vein of Midnight Run (1988), about an ex-F.B.I. Agent (Tommy Lee Jones) and an ex-mob lawyer in the Witness Protection Program (Morgan Freeman) having to put aside their petty rivalry on the golf course to fend off a mob hit."
The Breadwinner,"Animation, Drama, Family",94 min,7.7,78,2017-11-17,7.306,12616,Nora Twomey,"Saara Chaudry,Soma Chhaya,Noorin Gulamgaus,Laara Sadiq","In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family."
Godzilla: Planet of the Monsters,"Animation, Action, Sci-Fi",89 min,6.0,0,2017-11-17,7.85,5663,"Hiroyuki Seshita,Kôbun Shizuno","Mamoru Miyano,Takahiro Sakurai,Kana Hanazawa,Tomokazu Sugita","Years into the future and the human race has been defeated several times by the new ruling force of the planet: ""kaijus"". And the ruler of that force is Godzilla, The King of the Monsters. ...                See full summary »"
Creep 2,"Horror, Thriller",78 min,6.4,75,2017-10-06,7.866,11849,Patrick Brice,"Karan Soni,Mark Duplass,Desiree Akhavan,Kyle Field","A video artist looking for work drives to a remote house in the forest to meet a man claiming to be a serial killer. But after agreeing to spend the day with him, she soon realizes that she made a deadly mistake."
iBoy,"Action, Crime, Sci-Fi",90 min,6.0,50,2017-01-27,7.931,15702,Adam Randall,"Bill Milner,Maisie Williams,Miranda Richardson,Rory Kinnear","After being shot, Tom wakes from a coma to discover that fragments of his smart phone have been embedded in his head, and worse, that returning to normal teenage life is impossible because he has developed a strange set of superpowers."
Starship Troopers: Traitor of Mars,"Animation, Action, Sci-Fi",88 min,5.5,0,2017-08-21,8.891,4092,"Shinji Aramaki,Masaru Matsumoto","Casper Van Dien,Dina Meyer,DeRay Davis,Justin Doran","Federation trooper Johnny Rico is ordered to work with a group of new recruits on a satellite station on Mars, where giant bugs have decided to target their next attack."
Black Butterfly,Thriller,93 min,6.1,43,2017-05-26,8.007,9977,Brian Goodman,"Antonio Banderas,Jonathan Rhys Meyers,Piper Perabo,Vincent Riotta","Outside a mountain town grappling with a series of abductions and murders, Paul (Antonio Banderas), a reclusive writer, struggles to start what he hopes will be a career-saving screenplay. ...                See full summary »"
Resident Evil: Vendetta,"Animation, Action, Adventure",97 min,6.3,0,2017-05-27,11.222,8355,Takanori Tsujimoto,"Kevin Dorman,Matthew Mercer,Erin Cahill,John DeMita","Chris Redfield enlists the help of Leon S. Kennedy and Rebecca Chambers to stop a death merchant, with a vengeance, from spreading a deadly virus in New York."
Mayhem,"Action, Comedy, Horror",86 min,6.3,62,2017-03-13,7.976,11174,Joe Lynch,"Steven Yeun,Samara Weaving,Steven Brand,Caroline Chikezie",A virus spreads through an office complex causing white collar workers to act out their worst impulses.
Gnome Alone,"Animation, Action, Comedy",85 min,5.6,0,2017-11-02,9.703,1505,Peter Lepeniotis,"Becky G,Josh Peck,Tara Strong,Olivia Holt","When Chloe discovers that her new home's garden gnomes are not what they seem, she must decide between the pursuit of a desired high school life and taking up the fight against the Troggs."
The Man Who Invented Christmas,"Biography, Comedy, Drama",104 min,7.0,60,2017-11-22,9.821,8873,Bharat Nalluri,"Dan Stevens,Mark Schrier,Patrick Joseph Byrnes,Miriam Margolyes","The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas."
Churchill,"Biography, Drama, History",105 min,6.3,44,2017-05-25,7.636,11628,Jonathan Teplitzky,"Brian Cox,Miranda Richardson,John Slattery,Julian Wadham","96 hours before the World War II invasion of Normandy, British Prime Minister Winston Churchill struggles with his severe reservations with Operation Overlord and his increasingly marginalized role in the war effort."
Kung Fu Yoga,"Action, Adventure, Comedy",107 min,5.2,50,2017-01-27,7.559,7156,Stanley Tong,"Jackie Chan,Disha Patani,Amyra Dastur,Aarif Rahman","Two professors team up to locate a lost treasure and embark on an adventure that takes them from a Tibetan ice cave to Dubai, and to a mountain temple in India."
The Hunter's Prayer,"Action, Crime, Drama",91 min,5.5,35,2017-06-08,9.241,5975,Jonathan Mostow,"Sam Worthington,Odeya Rush,Allen Leech,Amy Landecker",An assassin helps a young woman avenge the death of her family.
Security,"Action, Crime, Thriller",88 min,5.7,0,2017-03-04,9.866,12659,Alain Desrochers,"Antonio Banderas,Ben Kingsley,Liam McIntyre,Cung Le",A security guard protects an eleven year-old girl who is being targeted by a gang for participating as a trial witness.
Knock,Comedy,113 min,6.0,0,2017-10-18,7.594,1752,Lorraine Lévy,"Omar Sy,Alex Lutz,Ana Girardot,Sabine Azéma",Doctor Knock is a former thug who has become a doctor and arrives in the small village of Saint-Maurice to make his fortune according to a particular method. It will make the villagers ...                See full summary »
The Bachelors,"Comedy, Drama",99 min,6.8,54,2017-10-20,7.816,2511,Kurt Voelker,"Odeya Rush,J.K. Simmons,Kitana Turnbull,Harold Perrineau","After the early death of his wife, a mourning father moves with his teenage son across the country for a private school teaching job. Their lives begin to transform due to two unique women, who help them embrace life and love again."
Bushwick,"Action, Adventure",94 min,5.2,44,2017-07-30,8.056,7042,"Jonathan Milott,Cary Murnion","Dave Bautista,Brittany Snow,Angelic Zambrana,Jeremie Harris","When a Texas military force invades their Brooklyn neighborhood, 20-year-old Lucy and war veteran Stupe must depend on each other to survive."
Batman and Harley Quinn,"Animation, Action, Adventure",74 min,5.9,0,2017-08-14,9.105,8600,Sam Liu,"Kevin Conroy,Melissa Rauch,Paget Brewster,Loren Lester","Batman and Nightwing are forced to team with the Joker's sometimes-girlfriend Harley Quinn to stop a global threat brought about by Poison Ivy and Jason Woodrue, the Floronic Man."
9/11,"Action, Drama",90 min,4.1,20,2017-09-07,7.697,2451,Martin Guigui,"Charlie Sheen,Gina Gershon,Whoopi Goldberg,Luis Guzmán","A group of five people find themselves trapped in an elevator in the World Trade Center's North Tower on 9/11. They work together, never giving up hope, to try to escape before the unthinkable happens."
The Dinner,"Crime, Drama, Thriller",120 min,4.5,57,2017-05-05,6.962,6242,Oren Moverman,"Michael Chernus,Taylor Rae Almonte,Steve Coogan,Charlie Plummer",Two sets of wealthy parents meet for dinner to decide what to do about a crime their sons have committed.
Arsenal,"Action, Crime, Drama",97 min,4.0,25,2017-01-06,7.117,3321,Steven C. Miller,"Nicolas Cage,John Cusack,Adrian Grenier,Johnathon Schaech",A Southern mobster attempts to rescue his kidnapped brother.
Tragedy Girls,"Comedy, Crime, Horror",98 min,6.0,58,2017-10-20,7.702,6428,Tyler MacIntyre,"Brianna Hildebrand,Alexandra Shipp,Jack Quaid,Kevin Durand","A twist on the slasher genre, following two death-obsessed teenage girls who use their online show about real-life tragedies to send their small mid-western town into a frenzy, and cement their legacy as modern horror legends."
Kodachrome,Drama,105 min,6.8,57,2017-09-08,9.356,7733,Mark Raso,"Ed Harris,Jason Sudeikis,Elizabeth Olsen,Bruce Greenwood","Set during the final days of the admired photo development system known as Kodachrome, a father and son hit the road in order to reach the Kansas photo lab before it closes its doors for good."
A Christmas Prince,"Comedy, Romance",92 min,5.7,0,2017-11-17,8.824,11504,Alex Zamm,"Rose McIver,Ben Lamb,Alice Krige,Honor Kneafsey","When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?"
Muse,"Horror, Sci-Fi, Thriller",107 min,5.4,0,2017-11-29,8.341,2346,Jaume Balagueró,"Elliot Cowan,Franka Potente,Ana Ularu,Leonor Watling",A grieving English literature professor who is suffering from a horrible recurring nightmare will soon find himself immersed in a macabre world of myth and superstition governed by a coven of seven malevolent women.
Woody Woodpecker,"Animation, Comedy, Family",91 min,4.2,0,2017-10-05,7.984,2414,Alex Zamm,"Eric Bauza,Timothy Omundson,Graham Verchere,Jordana Largy",The hyperactive red-headed bird enters a turf war with a big city lawyer wanting to tear down his home in an effort to build a house to flip.
The Case for Christ,"Biography, Drama",112 min,6.2,50,2017-04-07,7.242,6102,Jon Gunn,"Erika Christensen,Faye Dunaway,Frankie Faison,Robert Forster",An investigative journalist and self-proclaimed atheist sets out to disprove the existence of God after his wife becomes a Christian.
Beatriz at Dinner,"Comedy, Drama",82 min,6.1,68,2017-06-09,7.539,7685,Miguel Arteta,"Salma Hayek,John Lithgow,Connie Britton,Jay Duplass",A holistic medicine practitioner attends a wealthy client's dinner party after her car breaks down.
Wheelman,"Action, Crime, Mystery",82 min,6.4,66,2017-10-20,7.435,13320,Jeremy Rush,"Frank Grillo,Caitlin Carmichael,Garret Dillahunt,Shea Whigham",A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.
S.M.A.R.T. Chase,"Action, Adventure, Crime",95 min,4.2,0,2017-09-30,7.692,1246,Charles Martin,"Orlando Bloom,Lei Wu,Simon Yam,Hannah Quinlivan",A washed-up private security agent has to escort a valuable Chinese antique out of Shanghai but is ambushed en route.
Viceroy's House,"Biography, Drama, History",106 min,6.7,53,2017-03-03,8.065,5156,Gurinder Chadha,"Hugh Bonneville,Gillian Anderson,Manish Dayal,Huma Qureshi","The final Viceroy of India, Lord Mountbatten, is tasked with overseeing the transition of British India to independence, but meets with conflict as different sides clash in the face of monumental change."
The Recall,"Action, Sci-Fi, Thriller",90 min,4.4,0,2017-06-02,8.51,5937,Mauro Borrelli,"Wesley Snipes,RJ Mitte,Jedidiah Goodacre,Laura Bilgeri","When five friends vacation at a remote lake house they expect nothing less than a good time, unaware that planet Earth is under an alien invasion and mass-abduction."
The Polka King,"Biography, Comedy, Drama",95 min,5.9,65,2017-01-22,9.254,6664,Maya Forbes,"Jack Black,Jenny Slate,Jason Schwartzman,Jacki Weaver",Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.
The Outcasts,Comedy,95 min,5.5,47,2017-04-14,7.487,2863,Peter Hutchings,"Victoria Justice,Eden Sher,Ashley Rickards,Avan Jogia","After falling victim to a humiliating prank by the high school Queen Bee, best friends and world-class geeks, Mindy and Jodi, decide to get their revenge by uniting the outcasts of the school against her and her circle of friends."
Keep Watching,"Horror, Thriller",89 min,4.4,0,2017-05-04,8.257,3187,Sean Carter,"Bella Thorne,Chandler Riggs,Ioan Gruffudd,Natalie Martinez","A family become imprisoned in their home by intruders, who force them to play a life-and-death game, where the mysterious rules become clear as the night unfolds."
Baahubali 2: The Conclusion,"Action, Drama, Fantasy",167 min,8.3,0,2017-04-27,9.237,63300,S.S. Rajamouli,"Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
Revolt,"Action, Sci-Fi, War",87 min,5.2,0,2017-07-01,9.311,6325,Joe Miale,"Lee Pace,Bérénice Marlohe,Jason Flemyng,Sibulele Gcilitshana","An amnesiac US soldier's in a cell next to a cute, French doctor. Earth is under attack by big, alien robots. Kenyan soldiers come to rape, torture and kill but the 2 fight back. They find a car and head west."
The Crucifixion,"Horror, Mystery, Thriller",90 min,5.0,0,2017-04-27,8.214,4864,Xavier Gens,"Sophie Cookson,Corneliu Ulici,Ada Lupu,Brittany Ashworth",When Nicole comes in contact with Father Anton (Corneliu Ulici) more and more inexplicable events occur. The pair begin to believe that the priest lost the battle with a demon.
